weekday,weekday_name,hour,count
3,Thursday,13,94
4,Friday,14,94
3,Thursday,14,84
2,Wednesday,14,82
4,Friday,12,77
4,Friday,13,70
2,Wednesday,15,66
0,Monday,14,65
1,Tuesday,13,62
4,Friday,11,59
3,Thursday,12,59
4,Friday,16,57
3,Thursday,9,53
2,Wednesday,10,53
3,Thursday,11,52
1,Tuesday,14,51
2,Wednesday,11,50
1,Tuesday,8,50
0,Monday,7,49
0,Monday,6,46
2,Wednesday,12,45
1,Tuesday,7,44
3,Thursday,6,44
3,Thursday,10,42
4,Friday,15,42
4,Friday,6,41
3,Thursday,8,40
2,Wednesday,16,39
0,Monday,11,39
4,Friday,10,39
2,Wednesday,6,38
0,Monday,13,38
4,Friday,9,37
3,Thursday,7,36
4,Friday,8,35
4,Friday,7,34
2,Wednesday,8,34
1,Tuesday,10,34
5,Saturday,10,32
0,Monday,8,31
4,Friday,17,31
1,Tuesday,9,31
1,Tuesday,6,30
2,Wednesday,13,29
3,Thursday,15,28
2,Wednesday,9,27
2,Wednesday,7,25
1,Tuesday,12,25
1,Tuesday,11,24
0,Monday,9,24
1,Tuesday,15,21
0,Monday,15,21
0,Monday,10,20
0,Monday,12,19
5,Saturday,11,14
2,Wednesday,17,12
3,Thursday,16,12
5,Saturday,9,11
1,Tuesday,16,10
4,Friday,18,9
2,Wednesday,5,9
6,Sunday,9,8
3,Thursday,5,6
6,Sunday,8,6
5,Saturday,7,6
3,Thursday,17,6
1,Tuesday,5,5
0,Monday,17,5
5,Saturday,14,5
2,Wednesday,19,4
4,Friday,19,3
5,Saturday,6,3
6,Sunday,10,3
4,Friday,5,3
6,Sunday,7,2
0,Monday,5,2
5,Saturday,12,2
5,Saturday,8,2
0,Monday,16,2
6,Sunday,11,2
5,Saturday,22,1
3,Thursday,4,1
2,Wednesday,18,1
